INFO buildroot.py:348:  Mock Version: 1.4.8
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'tmpfs', '/share/dev/mock/dev/shm'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /share/dev/mock/dev/pts
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'devpts', '-o', 'gid=5,mode=0620,ptmxmode=0666,newinstance', 'devpts', '/share/dev/mock/dev/pts'] with env {'TERM': 'vt100', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'SHELL': '/bin/sh', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG package_manager.py:111:  ['/usr/bin/dnf', 'builddep', '--installroot', '/share/dev/mock/', '--releasever', '7', '/share/dev/mock//builddir/build/SRPMS/R-base-3.4.3-1.mga7.src.rpm']
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/dnf', 'builddep', '--installroot', '/share/dev/mock/', '--releasever', '7', '/share/dev/mock//builddir/build/SRPMS/R-base-3.4.3-1.mga7.src.rpm'] with env {'TERM': 'vt100', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8', 'HOSTNAME': 'mock', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'HOME': '/builddir', 'LC_MESSAGES': 'C', 'SHELL': '/bin/bash', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'} and shell False
DEBUG util.py:479:  Failed to synchronize cache for repo 'mageia-cauldron', disabling.
DEBUG util.py:479:  No matching package to install: 'bison'
DEBUG util.py:479:  No matching package to install: 'blas-devel'
DEBUG util.py:479:  No matching package to install: 'bzip2-devel'
DEBUG util.py:479:  No matching package to install: 'cups-common'
DEBUG util.py:479:  Package gcc-7.3.0-0.rc.20180117.1.mga7.x86_64 is already installed, skipping.
DEBUG util.py:479:  Package gcc-c++-7.3.0-0.rc.20180117.1.mga7.x86_64 is already installed, skipping.
DEBUG util.py:479:  No matching package to install: 'gcc-gfortran'
DEBUG util.py:479:  No matching package to install: 'gcc-objc'
DEBUG util.py:479:  No matching package to install: 'gcc-objc++'
DEBUG util.py:479:  No matching package to install: 'gettext-devel'
DEBUG util.py:479:  Package glibc-devel-6:2.22-26.mga7.x86_64 is already installed, skipping.
DEBUG util.py:479:  No matching package to install: 'gpm-devel'
DEBUG util.py:479:  No matching package to install: 'icu-devel'
DEBUG util.py:479:  No matching package to install: 'imagemagick'
DEBUG util.py:479:  No matching package to install: 'imake'
DEBUG util.py:479:  No matching package to install: 'java-devel-openjdk'
DEBUG util.py:479:  No matching package to install: 'lapack-devel'
DEBUG util.py:479:  No matching package to install: 'locales-en'
DEBUG util.py:479:  No matching package to install: 'paper-utils'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(cairo)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(libcurl)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(libjpeg)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(liblzma)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(libpcre)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(libpng)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(libtiff-4)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(ncurses)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(pango)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(tcl)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(tk)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(tre)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(x11)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(xmu)'
DEBUG util.py:479:  No matching package to install: 'pkgconfig(xt)'
DEBUG util.py:479:  No matching package to install: 'pth-devel'
DEBUG util.py:479:  No matching package to install: 'quadmath-devel'
DEBUG util.py:479:  No matching package to install: 'readline-devel'
DEBUG util.py:479:  No matching package to install: 'tcl'
DEBUG util.py:479:  No matching package to install: 'texinfo'
DEBUG util.py:479:  No matching package to install: 'texinfo-tex'
DEBUG util.py:479:  No matching package to install: 'texlive'
DEBUG util.py:479:  No matching package to install: 'texlive-fontsextra'
DEBUG util.py:479:  No matching package to install: 'xdg-utils'
DEBUG util.py:479:  No matching package to install: 'zip'
DEBUG util.py:479:  Not all dependencies satisfied
DEBUG util.py:479:  Error: Some packages could not be found.
DEBUG util.py:617:  Child return code was: 1
DEBUG util.py:636:  child environment: None
